2020/11/17 14:10:10							
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	464	205	0.1	0.0	0.0	0.8	0.4
Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates
Bishan (Bishan Ridges)	156	134	0.9	NA	NA	NA	0.9
Tampines (Tampines GreenEmerald)	146	80	0.7	0.1	1.7	NA	0.5
TOTAL	986	711	0.5	0.1	0.1	1.3	0.7
Project	Flat Type	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^
Project	Flat Type	No of Units	Number of Applicants	Non-Elderly	Non-Elderly	Non-Elderly
Project	Flat Type	No of Units	Number of Applicants	First Timers	Second Timers	Overall
Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates
Sembawang (Sun Sails)	3-room	84	135	1.4	2.2	1.6
Sembawang (Sun Sails)	4-room	238	323	1.3	1.6	1.4
Sembawang (Sun Sails)	5-room	184	291	1.4	2.7	1.6
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	3-room	218	80	0.3	0.6	0.4
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	4-room	570	488	0.7	3.6	0.9
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	5-room	327	376	0.9	5.6	1.1
Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates
Bishan (Bishan Ridges)	3-room	124	179	0.8	13.3	1.4
Bishan (Bishan Ridges)	4-room	1222	2103	1.3	9.6	1.7
Tampines (Tampines GreenEmerald)	4-room	360	427	1.0	4.2	1.2
Tampines (Tampines GreenEmerald)	5-room	244	283	0.8	8.2	1.2
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	3-room	184	70	0.2	4.1	0.4
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	4-room	910	710	0.7	3.1	0.8
Toa Payoh (Bartley Beacon)	5-room	144	595	2.3	40.6	4.1
TOTAL	TOTAL	4809	6060	1.0	4.8	1.3
2020/11/18 14:05:02
Project	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	Application Rate^	Application Rate^
Project	No of Units	Number of Applicants	Elderly	Non-Elderly	Non-Elderly	Non-Elderly	Overall
Project	No of Units	Number of Applicants	Elderly	First Timers	Second Timers	Singles	Overall
Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates
Sembawang (Sun Sails)	220	348	0.7	0.2	0.1	3.5	1.6
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	464	228	0.2	0.0	0.1	0.9	0.5
Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates
Bishan (Bishan Ridges)	156	175	1.1	NA	NA	NA	1.1
Tampines (Tampines GreenEmerald)	146	100	0.9	0.1	4.0	NA	0.7
TOTAL	986	851	0.6	0.1	0.1	1.6	0.9
Project	Flat Type	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^
Project	Flat Type	No of Units	Number of Applicants	Non-Elderly	Non-Elderly	Non-Elderly
Project	Flat Type	No of Units	Number of Applicants	First Timers	Second Timers	Overall
Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates
Sembawang (Sun Sails)	3-room	84	152	1.6	2.4	1.8
Sembawang (Sun Sails)	4-room	238	357	1.4	2.1	1.5
Sembawang (Sun Sails)	5-room	184	332	1.6	3.1	1.8
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	3-room	218	91	0.3	0.6	0.4
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	4-room	570	535	0.8	4.1	0.9
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	5-room	327	430	1.0	6.9	1.3
Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates
Bishan (Bishan Ridges)	3-room	124	206	0.9	16.5	1.7
Bishan (Bishan Ridges)	4-room	1222	2397	1.5	11.5	2.0
Tampines (Tampines GreenEmerald)	4-room	360	484	1.1	5.4	1.3
Tampines (Tampines GreenEmerald)	5-room	244	318	0.9	9.5	1.3
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	3-room	184	78	0.2	4.7	0.4
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	4-room	910	817	0.7	3.8	0.9
Toa Payoh (Bartley Beacon)	5-room	144	685	2.5	49.0	4.8
TOTAL	TOTAL	4809	6882	1.1	5.8	1.4
2020/11/18 17:05:03
Project	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	Application Rate^	Application Rate^
Project	No of Units	Number of Applicants	Elderly	Non-Elderly	Non-Elderly	Non-Elderly	Overall
Project	No of Units	Number of Applicants	Elderly	First Timers	Second Timers	Singles	Overall
Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates
Sembawang (Sun Sails)	220	393	0.8	0.2	0.2	4.3	1.8
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	464	251	0.2	0.0	0.1	1.0	0.5
Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates
Bishan (Bishan Ridges)	156	213	1.4	NA	NA	NA	1.4
Tampines (Tampines GreenEmerald)	146	116	1.0	0.1	5.5	NA	0.8
TOTAL	986	973	0.8	0.1	0.2	1.8	1.0
Project	Flat Type	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^
Project	Flat Type	No of Units	Number of Applicants	Non-Elderly	Non-Elderly	Non-Elderly
Project	Flat Type	No of Units	Number of Applicants	First Timers	Second Timers	Overall
Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates
Sembawang (Sun Sails)	3-room	84	167	1.7	2.8	2.0
Sembawang (Sun Sails)	4-room	238	384	1.5	2.2	1.6
Sembawang (Sun Sails)	5-room	184	358	1.7	3.4	1.9
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	3-room	218	98	0.3	0.7	0.4
